movie_title,release_date,genre
The Other Half,10-Mar-17,"Drama,Romance"
Anything,11-May-18,"Drama,Romance"
Bride Flight,10-Jun-11,Drama
Les amants criminels,21-Jul-00,"Drama,Thriller,Crime"
Driven,16-Aug-19,"Biography,Drama,Thriller"
Them That Follow,2-Aug-19,Thriller
Bat*21,21-Oct-88,"Drama,War"
The Prey,7-Jun-13,"Action,Thriller,Crime"
The Missing Person,20-Nov-09,"Drama,Mystery,Comedy"
Color Me Kubrick,23-Mar-07,"Drama,Comedy"
little man,28-Oct-05,Documentary
Viper Club,26-Oct-18,Drama
Cirkus Columbia,17-Feb-12,Drama
In the Name of My Daughter,8-May-15,Drama
Heaven's Gate,19-Nov-80,"Adventure,Drama,Western"
The Yellow Birds,15-Jun-18,"Drama,War"
The Monk,8-Mar-13,"Drama,Mystery,Thriller"
Alex of Venice,17-Apr-15,Drama
After Midnight,3-Dec-04,"Comedy,Romance"
Perlasca: The Courage of a Just Man,15-Apr-05,"Drama,History,War"
The Human Surge,3-Mar-17,"Drama,Documentary"
A Very Brady Sequel,23-Aug-96,Comedy
A Bag of Marbles,23-Mar-18,Drama
It's About You,4-Jan-12,"Biography,Music,Documentary"
Gun Hill Road,5-Aug-11,Drama
SiREN,2-Dec-16,Horror
Cézanne et Moi,31-Mar-17,"Biography,Drama"
Some Velvet Morning,13-Dec-13,Drama
Allure,16-Mar-18,"Drama,Thriller,Romance"
CSNY/Déjà Vu,25-Jul-08,"Music,Documentary"
In Satmar Custody,6-Apr-05,Documentary
Milarepa,7-Sep-07,"Action,Adventure,Biography,Drama"
Who Do You Love,9-Apr-10,Drama
Three Days of Rain,30-Sep-05,Drama
Macbeth,15-Jun-07,"Drama,Thriller"
In Our Nature,7-Dec-12,Drama
Trial by Fire,17-May-19,"Biography,Drama"
Burn Your Maps,21-Jun-19,Adventure
Six Dance Lessons in Six Weeks,12-Dec-14,"Drama,Comedy"
All My Loved Ones,14-Aug-02,"Drama,War,Music"
Introducing the Dwights,4-Jul-07,"Drama,Comedy"
The Price of Milk,16-Feb-01,"Drama,Fantasy,Comedy,Romance"
They Remain,2-Mar-18,Thriller
Out of Blue,22-Mar-19,"Drama,Mystery,Crime"
Adult Life Skills,18-Jan-19,"Drama,Comedy"
Gerontophilia,1-May-15,"Comedy,Romance"
Lucky Break,5-Apr-02,"Comedy,Romance,Crime"
Virgin,3-Sep-04,Drama
To the Arctic,20-Apr-12,Documentary
October Gale,6-Mar-15,"Drama,Thriller,Romance"
Cote d'Azur,9-Sep-05,"Comedy,Romance,Musical"
Full Grown Men,25-Jun-08,"Drama,Comedy"
1492: Conquest of Paradise,9-Oct-92,"Adventure,Biography,Drama,History"
The Architect,1-Dec-06,Drama
Nostalgia,16-Feb-18,Drama
The Tenants,3-Feb-06,Drama
