movie_title,release_date,genre
What About Bob?,17-May-91,Comedy
Dark Places,7-Aug-15,"Drama,Mystery,Thriller"
Stealth,29-Jul-05,"Action,Adventure,Sci-Fi,Thriller"
The Fits,3-Jun-16,Drama
Persecuted,18-Jul-14,"Action,Drama,Mystery,Thriller"
Murder by Numbers,19-Apr-02,"Drama,Thriller,Crime"
A Lot Like Love,22-Apr-05,"Drama,Comedy,Romance"
Chopper,11-Apr-01,"Biography,Drama,Crime"
The Chorus,14-Jan-05,"Drama,Music"
Made,13-Jul-01,"Drama,Thriller,Comedy,Crime"
Muriel's Wedding,10-Mar-95,"Drama,Comedy,Romance"
The Saint,4-Apr-97,"Action,Sci-Fi,Thriller,Romance"
What a Girl Wants,4-Apr-03,"Comedy,Romance"
The Limits of Control,1-May-09,"Drama,Mystery,Thriller,Crime"
Two Brothers,25-Jun-04,"Adventure,Drama,Family"
The Sound of Music,2-Mar-65,"Biography,Drama,Romance,Family,Musical"
The Gatekeepers,1-Feb-13,Documentary
Mad Money,18-Jan-08,"Thriller,Comedy,Romance,Crime"
Left Behind,2-Feb-01,"Sci-Fi,Drama,Thriller,Fantasy"
State Property,18-Jan-02,"Action,Drama,Crime"
Love Happens,18-Sep-09,"Drama,Romance"
Letters to God,9-Apr-10,"Drama,Family"
Proof of Life,8-Dec-00,"Action,Adventure,Drama,Thriller,Romance"
D.E.B.S.,25-Mar-05,"Action,Comedy,Romance"
Butter,5-Oct-12,Comedy
Mutual Appreciation,1-Sep-06,Comedy
Solace,16-Dec-16,"Drama,Mystery,Thriller,Crime"
Morvern Callar,20-Dec-02,Drama
My One and Only,21-Aug-09,"Drama,Comedy"
Planet B-Boy,21-Mar-08,"History,Music,Documentary"
Dust to Glory,1-Apr-05,"Action,Adventure,Documentary"
Blood Ties,21-Mar-14,"Drama,Thriller,Crime"
The Young Messiah,11-Mar-16,Drama
Approaching the Unknown,3-Jun-16,"Sci-Fi,Drama,Thriller"
The Red Violin,11-Jun-99,"Drama,Mystery,Romance,Music"
And So It Goes,25-Jul-14,"Drama,Comedy,Romance"
Harry and the Hendersons,5-Jun-87,"Fantasy,Comedy,Family"
Anna,6-Jun-14,"Drama,Thriller"
Mysteries of Lisbon,5-Aug-11,"Drama,Mystery"
The Way Home,15-Nov-02,Drama
Bride of Chucky,16-Oct-98,"Horror,Comedy"
Reservation Road,19-Oct-07,"Drama,Thriller"
Illegal Tender,24-Aug-07,"Drama,Thriller,Crime"
The Slammin' Salmon,11-Dec-09,Comedy
Nothing Left to Fear,4-Oct-13,Horror
Vatel,25-Dec-00,"Biography,Drama,Romance"
Jason Goes to Hell: The Final Friday,13-Aug-93,"Thriller,Fantasy,Horror"
I'm Gonna Git You Sucka,14-Dec-88,"Action,Comedy"
"Good Bye, Dragon Inn",17-Sep-04,"Drama,Comedy"
Lake City,21-Nov-08,Drama
Wolfen,24-Jul-81,"Thriller,Horror"
Rory O'Shea Was Here,4-Feb-05,"Drama,Comedy"
Is Anybody There?,17-Apr-09,Drama
My Baby's Daddy,9-Jan-04,Comedy
Pauline and Paulette,15-Mar-02,"Drama,Comedy"
Dai si gin,27-Jan-06,"Action,Drama,Crime"
The Hot Spot,12-Oct-90,"Drama,Thriller,Romance,Crime"
Desert Flower,18-Mar-11,"Biography,Drama"
96 Minutes,27-Apr-12,"Drama,Thriller"
Prefontaine,24-Jan-97,"Biography,Drama,Sport"
Better Off Dead...,11-Oct-85,"Comedy,Romance"
City of Ghosts,25-Apr-03,"Drama,Thriller,Crime"
Max,27-Dec-02,"Drama,War"
The Caveman's Valentine,2-Mar-01,"Drama,Mystery,Thriller,Crime,Music"
The Reunion,21-Oct-11,Action
Mondays in the Sun,25-Jul-03,Drama
Outside the Law,3-Nov-10,"Action,Drama,History,Crime"
Brother to Brother,5-Nov-04,Drama
Dallas 362,24-Jun-05,Drama
September Tapes,24-Sep-04,"Drama,Thriller"
Euthanizer,20-Jul-18,"Drama,Thriller"
"Peace, Propaganda & the Promised Land",28-Jan-05,Documentary
The Image Book,25-Jan-19,Drama
Only the Young,7-Dec-12,"Comedy,Romance,Documentary"
Cutthroat Island,22-Dec-95,"Action,Adventure,Comedy"
The Hobbit: An Unexpected Journey,14-Dec-12,"Adventure,Fantasy"
The Hurt Locker,26-Jun-09,"Action,Drama,Thriller,War"
Shutter Island,19-Feb-10,"Drama,Mystery,Thriller"
Gladiator,5-May-00,"Action,Adventure,Drama,History"
TRON: Legacy,17-Dec-10,"Action,Adventure,Sci-Fi,Thriller"
The Shining,23-May-80,"Thriller,Horror"
Hostel,6-Jan-06,"Mystery,Thriller,Horror"
Taken,30-Jan-09,"Action,Drama,Thriller,Crime"
Unbreakable,22-Nov-00,"Drama,Mystery,Thriller,Fantasy"
Sleepy Hollow,19-Nov-99,"Mystery,Thriller,Fantasy"
Prince of Persia: The Sands of Time,28-May-10,"Action,Adventure,Fantasy,Romance"
Jurassic Park III,18-Jul-01,"Action,Adventure,Sci-Fi,Thriller"
Riddick,6-Sep-13,"Action,Sci-Fi,Thriller"
Closer,3-Dec-04,"Drama,Romance"
Almost Famous,13-Sep-00,"Drama,Music"
Elf,7-Nov-03,"Fantasy,Comedy,Family"
The Expendables 3,15-Aug-14,"Action,Adventure,Thriller"
Star Wars: The Clone Wars,15-Aug-08,"Action,Adventure,Sci-Fi,Thriller,Animation"
Hotel Transylvania,28-Sep-12,"Comedy,Animation,Family"
Hard Candy,14-Apr-06,"Drama,Thriller"
R.I.P.D.,19-Jul-13,"Action,Fantasy,Comedy,Crime"
Role Models,7-Nov-08,Comedy
Y Tu Mamá También,15-Mar-02,"Drama,Comedy"
Dark Skies,22-Feb-13,"Sci-Fi,Thriller,Horror"
The Brothers Grimm,26-Aug-05,"Adventure,Thriller,Fantasy,Comedy"
The Black Dahlia,15-Sep-06,"Drama,History,Mystery,Thriller,Romance,Crime"
Dogville,26-Mar-04,"Drama,Mystery,Thriller"
Toni Erdmann,25-Dec-16,"Drama,Comedy"
Darkman,24-Aug-90,"Action,Sci-Fi,Thriller,Crime"
The Promise,21-Apr-17,"Drama,History"
Scooby-Doo,14-Jun-02,"Adventure,Mystery,Comedy,Family"
Season of the Witch,7-Jan-11,"Adventure,Drama,Fantasy"
One Direction: This Is Us,30-Aug-13,"Music,Documentary"
Open Range,15-Aug-03,"Drama,Romance,Western"
House at the End of the Street,21-Sep-12,"Thriller,Horror"
White Chicks,23-Jun-04,"Comedy,Crime"
Hoodwinked!,16-Dec-05,"Mystery,Crime,Animation,Family"
Baby Mama,25-Apr-08,"Comedy,Romance"
The Omen,6-Jun-06,"Thriller,Horror"
Hustle & Flow,22-Jul-05,"Drama,Crime,Music"
Steamboy,18-Mar-05,"Action,Adventure,Sci-Fi,Thriller,Animation,Family"
Faster,24-Nov-10,"Action,Drama,Thriller,Crime"
Homefront,27-Nov-13,"Action,Thriller,Crime"
Underdog,3-Aug-07,"Action,Adventure,Sci-Fi,Comedy,Family"
Glitter,21-Sep-01,"Romance,Music"
Little Man,14-Jul-06,"Comedy,Crime"
The Bridges of Madison County,2-Jun-95,"Drama,Romance"
"Girl, Interrupted",21-Dec-99,"Biography,Drama"
Suzhou River,8-Nov-00,"Drama,Romance"
Johnny English Strikes Again,26-Oct-18,"Action,Adventure,Comedy"
Ever After,31-Jul-98,"Drama,Fantasy,Comedy,Romance"
The Uninvited,30-Jan-09,"Drama,Mystery,Thriller,Horror"
Reign of Fire,12-Jul-02,"Action,Sci-Fi,Thriller,Fantasy"
Meek's Cutoff,8-Apr-11,Western
A Thousand Words,9-Mar-12,"Drama,Comedy"
Gothika,21-Nov-03,"Mystery,Thriller,Horror"
The Back-up Plan,23-Apr-10,"Comedy,Romance"
License to Wed,3-Jul-07,"Comedy,Romance"
Drillbit Taylor,21-Mar-08,Comedy
The Good German,15-Dec-06,"Drama,Mystery,Thriller"
Certain Women,14-Oct-16,Drama
Crazy/Beautiful,29-Jun-01,"Drama,Romance"
Eraser,21-Jun-96,"Action,Drama,Mystery,Thriller"
Along Came a Spider,6-Apr-01,"Mystery,Thriller,Crime"
Sympathy for Mr. Vengeance,19-Aug-05,"Drama,Thriller,Crime"
The Shack,3-Mar-17,"Drama,Fantasy"
Lords of Dogtown,3-Jun-05,"Biography,Drama,Sport"
Ichi the Killer,19-May-03,"Action,Drama,Mystery,Thriller,Comedy,Crime"
Hidalgo,5-Mar-04,"Action,Adventure,Drama"
Madea's Family Reunion,24-Feb-06,"Drama,Comedy,Romance"
Sita Sings the Blues,25-Dec-09,"Fantasy,Comedy,Romance,Animation,Musical"
The Love Witch,11-Nov-16,"Drama,Thriller,Horror,Comedy"
Practical Magic,16-Oct-98,"Fantasy,Comedy,Romance"
Beautiful Girls,9-Feb-96,"Drama,Comedy,Romance"
Dora and the Lost City of Gold,9-Aug-19,"Action,Adventure,Family"
Ordinary People,18-Sep-80,Drama
U.S. Marshals,6-Mar-98,"Action,Thriller"
Timeline,26-Nov-03,"Action,Adventure,Sci-Fi,Fantasy"
The Dead Girl,29-Dec-06,"Drama,Mystery,Thriller"
Rugrats Go Wild,13-Jun-03,"Adventure,Comedy,Animation,Family"
Friday After Next,22-Nov-02,Comedy
Bad Samaritan,4-May-18,"Thriller,Horror"
Men of Honor,10-Nov-00,"Biography,Drama"
Zombie Strippers!,18-Apr-08,"Horror,Comedy"
The Art of the Steal,14-Mar-14,"Comedy,Crime"
The Christmas Chronicles,22-Nov-18,"Adventure,Fantasy,Comedy,Animation,Family"
The Blues Brothers,20-Jun-80,"Action,Comedy,Crime,Music,Musical"
Nutty Professor II: The Klumps,28-Jul-00,"Sci-Fi,Comedy"
Tamara,3-Feb-06,"Thriller,Fantasy,Horror"
Universal Soldier: The Return,20-Aug-99,"Action,Sci-Fi"
Leviathan,1-Mar-13,Documentary
"Paul, Apostle of Christ",23-Mar-18,"Drama,History"
Video Games: The Movie,18-Jul-14,"Action,Sci-Fi,History,Animation,Documentary"
An American Werewolf in Paris,31-Oct-97,"Thriller,Horror,Comedy,Romance"
Battle in Seattle,19-Sep-08,"Action,Drama"
The Perfect Score,30-Jan-04,"Comedy,Crime"
Kidnapping Mr. Heineken,6-Mar-15,"Action,Drama,Thriller,Crime"
Julia,8-May-09,"Drama,Thriller,Crime"
Palindromes,13-Apr-05,"Adventure,Drama,Comedy"
The Lady,13-Apr-12,"Biography,Drama"
Storytelling,25-Jan-02,"Drama,Comedy"
Results,29-May-15,Comedy
Miss Meadows,14-Nov-14,"Drama,Thriller"
Any Day Now,14-Dec-12,Drama
The Lucky Ones,26-Sep-08,"Drama,Comedy,War"
First Kill,21-Jul-17,"Action,Thriller"
Of Time and the City,21-Jan-09,"Biography,History,Documentary"
Frantic,26-Feb-88,"Drama,Mystery,Thriller,Crime"
Robin Hood: Men in Tights,28-Jul-93,"Adventure,Comedy,Romance,Musical"
Starbuck,22-Mar-13,Comedy
Sex and Death 101,4-Apr-08,"Drama,Comedy,Romance"
The Little Death,26-Jun-15,"Drama,Comedy,Romance"
It Takes Two,17-Nov-95,"Comedy,Romance,Family"
Dark Was the Night,24-Jul-15,"Drama,Thriller,Horror"
Zoe,20-Jul-18,"Sci-Fi,Romance"
City of Ghosts,7-Jul-17,"War,Documentary"
The Wild Bunch,18-Jun-69,"Action,Adventure,Western"
Small Voices,10-Oct-03,Drama
Papillon,16-Dec-73,"Biography,Drama,Crime"
The Trip,9-May-03,"Drama,Comedy,Romance"
A Chorus Line,9-Dec-85,"Drama,Comedy,Musical"
Brief Interviews with Hideous Men,25-Sep-09,"Drama,Comedy"
The Truth About Emanuel,10-Jan-14,"Drama,Thriller"
Brigham City,13-Apr-01,"Drama,Mystery,Crime"
Parked,30-Nov-12,Drama
Putty Hill,18-Feb-11,Drama
Terror's Advocate,12-Oct-07,"Biography,History,Documentary"
Back to School,13-Jun-86,"Sport,Comedy,Romance"
Wendigo,15-Feb-02,"Mystery,Thriller,Horror"
Seducing Doctor Lewis,18-Jun-04,Comedy
The Karate Kid Part II,20-Jun-86,"Action,Sport,Romance,Family"
The Exorcist III,17-Aug-90,"Drama,Mystery,Horror"
Village of the Damned,28-Apr-95,"Sci-Fi,Thriller,Horror"
Last Orders,7-Dec-01,Drama
Share,27-Jul-19,Thriller
Saboteur,24-Apr-42,"Thriller,War"
I Am Ali,10-Oct-14,"Biography,Sport,Documentary"
Below Her Mouth,28-Apr-17,"Drama,Romance"
Free Ride,10-Jan-14,"Action,Drama,Thriller"
Dark Streets,12-Dec-08,"Drama,Thriller"
Alléluia,17-Jul-15,"Drama,Thriller"
Zus & zo,7-Feb-03,"Fantasy,Comedy,Romance"
Not Easily Broken,9-Jan-09,"Drama,Romance"
12 O'Clock Boys,31-Jan-14,"Biography,Documentary"
Steep,21-Dec-07,"Sport,Documentary"
Explorers,12-Jul-85,"Adventure,Sci-Fi,Family"
Decoding Annie Parker,2-May-14,Drama
How Stella Got Her Groove Back,14-Aug-98,"Drama,Romance"
An Evening with Beverly Luff Linn,19-Oct-18,"Comedy,Crime"
A Man Named Pearl,11-Jul-08,Documentary
The Monster Squad,14-Aug-87,"Action,Fantasy,Horror,Comedy"
Holly,9-Nov-07,Drama
The Giant Mechanical Man,27-Apr-12,"Drama,Comedy,Romance"
Suicide Squad,5-Aug-16,"Action,Adventure,Sci-Fi,Thriller,Fantasy,Comedy,Crime"
Kingsman: The Secret Service,13-Feb-15,"Action,Adventure,Thriller,Comedy,Crime"
The Truman Show,5-Jun-98,Drama
Jurassic Park,11-Jun-93,"Adventure,Sci-Fi,Thriller"
Taxi Driver,7-Feb-76,"Drama,Thriller,Crime"
Battle: Los Angeles,11-Mar-11,"Action,Sci-Fi"
The Secret Life of Walter Mitty,25-Dec-13,"Adventure,Drama,Fantasy,Comedy"
Insidious,1-Apr-11,"Fantasy,Horror,Comedy"
Kingsman: The Golden Circle,22-Sep-17,"Action,Adventure,Comedy"
Fantastic Four: Rise of the Silver Surfer,15-Jun-07,"Action,Adventure,Sci-Fi,Thriller,Fantasy"
Mission: Impossible,22-May-96,"Action,Adventure,Thriller"
Superman II,19-Jun-81,"Action,Adventure,Sci-Fi,Romance"
Southpaw,24-Jul-15,"Action,Drama,Sport,Thriller"
Panic Room,29-Mar-02,Thriller
G.I. Joe: The Rise of Cobra,7-Aug-09,"Action,Adventure,Sci-Fi,Thriller"
Lawless,29-Aug-12,"Drama,Crime,Western"
The Blind Side,20-Nov-09,"Biography,Drama,Sport"
RoboCop,17-Jul-87,"Action,Sci-Fi,Drama,Thriller,Crime"
Seven Pounds,19-Dec-08,Drama
Stardust,10-Aug-07,"Adventure,Fantasy,Romance,Family"
Click,23-Jun-06,"Drama,Fantasy,Comedy"
Love and Other Drugs,24-Nov-10,"Comedy,Romance"
Run All Night,13-Mar-15,"Action,Drama,Mystery,Thriller,Crime"
Resident Evil: Extinction,21-Sep-07,"Action,Sci-Fi,Thriller,Fantasy,Horror"
Indiana Jones and the Temple of Doom,23-May-84,"Action,Adventure"
Dragonball: Evolution,10-Apr-09,"Action,Adventure,Sci-Fi,Thriller,Fantasy"
Max Payne,17-Oct-08,"Action,Drama,Mystery,Thriller,Crime"
Knock Knock,9-Oct-15,"Mystery,Thriller,Horror"
13 Hours: The Secret Soldiers of Benghazi,15-Jan-16,"Action,Drama,Thriller,War"
Gamer,4-Sep-09,"Action,Sci-Fi,Thriller"
All Is Lost,18-Oct-13,"Action,Adventure,Drama"
The Forgotten,24-Sep-04,"Sci-Fi,Mystery,Thriller,Horror"
Blended,23-May-14,Comedy
In the Heart of the Sea,11-Dec-15,"Action,Adventure,Biography,Drama,History,Thriller"
The Age of Adaline,24-Apr-15,"Drama,Romance"
Jigsaw,27-Oct-17,"Mystery,Thriller,Horror,Crime"
The Next Three Days,19-Nov-10,"Drama,Thriller,Romance,Crime"
Miller's Crossing,5-Oct-90,"Drama,Thriller,Crime"
Greenberg,19-Mar-10,"Drama,Comedy"
Bottle Rocket,21-Feb-96,"Comedy,Crime"
The Last Song,31-Mar-10,"Drama,Romance"
Changing Lanes,12-Apr-02,"Drama,Thriller"
Frequency,28-Apr-00,"Sci-Fi,Drama,Thriller"
House of Sand and Fog,19-Dec-03,Drama
Surf's Up,8-Jun-07,"Sport,Comedy,Animation,Family"
Butch Cassidy and the Sundance Kid,24-Oct-69,"Adventure,Drama,Crime,Western"
The Exorcism of Emily Rose,9-Sep-05,"Drama,Thriller,Horror,Crime"
The Vow,10-Feb-12,"Drama,Romance"
Superhero Movie,28-Mar-08,"Action,Sci-Fi,Thriller,Comedy"
The Fall,9-May-08,"Adventure,Drama,Fantasy"
My Bloody Valentine,16-Jan-09,"Mystery,Thriller,Horror,Crime"
The Prince of Egypt,18-Dec-98,"Adventure,Drama,Animation,Family,Musical"
Last Vegas,1-Nov-13,Comedy
K-PAX,26-Oct-01,"Sci-Fi,Drama,Mystery"
The Diary of a Teenage Girl,7-Aug-15,"Drama,Romance"
Beverly Hills Cop,5-Dec-84,"Action,Drama,Thriller,Comedy,Crime"
Ghost Ship,25-Oct-02,"Adventure,Mystery,Thriller,Horror"
21 and Over,1-Mar-13,Comedy
All Good Things,3-Dec-10,"Drama,Mystery,Thriller"
The Road to El Dorado,31-Mar-00,"Adventure,Comedy,Romance,Animation,Family"
What Happens in Vegas,9-May-08,"Comedy,Romance"
The Hunt for Red October,2-Mar-90,"Action,Adventure,Thriller"
The Unborn,9-Jan-09,"Mystery,Thriller,Horror"
Bewitched,24-Jun-05,"Fantasy,Comedy,Romance"
This Is Where I Leave You,19-Sep-14,"Drama,Comedy"
Hard Ball,14-Sep-01,"Drama,Sport"
The Devil's Double,29-Jul-11,"Action,Biography,Drama"
Friday,26-Apr-95,"Drama,Comedy"
Here Comes the Boom,12-Oct-12,"Action,Comedy"
Arlington Road,9-Jul-99,"Mystery,Thriller"
Coach Carter,14-Jan-05,"Drama,Sport"
Jafar Panahi's Taxi,2-Oct-15,"Drama,Comedy"
Hatchet,7-Sep-07,"Horror,Comedy"
Regression,5-Feb-16,"Drama,Mystery,Thriller,Horror,Crime"
Flyboys,22-Sep-06,"Action,Adventure,Drama,History,Romance,War"
Red Lights,13-Jul-12,"Drama,Mystery,Thriller,Horror"
While You Were Sleeping,21-Apr-95,"Comedy,Romance"
Tuck Everlasting,11-Oct-02,"Drama,Fantasy,Romance,Family"
After,12-Apr-19,"Drama,Romance"
How to Lose a Guy in 10 Days,7-Feb-03,"Comedy,Romance"
Chi-Raq,4-Dec-15,"Drama,Comedy,Crime,Musical"
Dear Frankie,4-Mar-05,"Drama,Romance"
Wish Upon,14-Jul-17,"Thriller,Fantasy,Horror"
Everything Is Illuminated,16-Sep-05,"Drama,Comedy"
The Hudsucker Proxy,11-Mar-94,"Drama,Fantasy,Comedy,Romance"
Maniac,21-Jun-13,"Thriller,Horror,Crime"
The Invisible,27-Apr-07,"Drama,Mystery,Thriller,Fantasy,Romance,Crime"
Equals,15-Jul-16,"Sci-Fi,Drama,Romance"
Aftershock,10-May-13,"Adventure,Thriller,Horror,Crime"
Glory Road,13-Jan-06,"Drama,Sport"
The Canyons,2-Aug-13,"Drama,Thriller"
Seeking Justice,16-Mar-12,"Action,Drama,Thriller"
Taxi,6-Oct-04,"Action,Thriller,Comedy,Crime"
Tiny Furniture,12-Nov-10,Comedy
Over Her Dead Body,1-Feb-08,"Fantasy,Comedy,Romance"
Why Did I Get Married Too?,2-Apr-10,Comedy
Next Friday,12-Jan-00,Comedy
Keeping Mum,15-Sep-06,"Comedy,Crime"
Flashdance,15-Apr-83,"Drama,Romance,Music"
Fun Size,26-Oct-12,Comedy
Extraordinary Measures,22-Jan-10,Drama
The Secret Life of Bees,17-Oct-08,Drama
Nine 1/2 Weeks,21-Feb-86,"Drama,Romance"
Lebanon,6-Aug-10,"Drama,War"
Remember,11-Mar-16,"Drama,Thriller"
Amelia,23-Oct-09,"Adventure,Biography,Drama,Romance"
13,28-Oct-11,"Drama,Thriller"
The Truth About Cats & Dogs,26-Apr-96,"Comedy,Romance"
Nurse 3D,7-Feb-14,"Thriller,Horror"
Rock Dog,24-Feb-17,"Adventure,Comedy,Music,Animation,Family"
Hard Rain,16-Jan-98,"Action,Drama,Thriller,Crime"
We the Animals,17-Aug-18,Drama
The Adventures of Rocky & Bullwinkle,30-Jun-00,"Adventure,Fantasy,Comedy,Animation,Family"
High Flying Bird,8-Feb-19,"Drama,Sport"
Private Parts,7-Mar-97,"Biography,Drama,Comedy"
Girl Most Likely,19-Jul-13,Comedy
Dick,4-Aug-99,Comedy
Creation,22-Jan-10,"Biography,Drama"
Catch That Kid,6-Feb-04,"Action,Adventure,Comedy,Crime,Family"
Walking Out,6-Oct-17,"Adventure,Drama,Mystery,Thriller"
The Man with the Golden Gun,20-Dec-74,"Action,Adventure,Thriller"
Dad's Army,5-Feb-16,Comedy
Pay the Ghost,25-Sep-15,"Thriller,Horror"
Sliding Doors,24-Apr-98,"Drama,Comedy,Romance"
Yes,24-Jun-05,"Drama,Romance"
Tea with Mussolini,14-May-99,"Drama,Comedy,War"
Holy Smoke,3-Dec-99,"Drama,Comedy"
The Tempest,10-Dec-10,"Drama,Fantasy,Comedy,Romance"
Shrink,24-Jul-09,Drama
Blood and Chocolate,26-Jan-07,"Drama,Fantasy,Horror,Romance"
Man Down,2-Dec-16,"Drama,Thriller"
Moonwalkers,15-Jan-16,Comedy
The Battle of Shaker Heights,22-Aug-03,"Drama,Comedy,Romance"
What We Did on Our Holiday,10-Jul-15,"Drama,Comedy"
Search Party,13-May-16,"Adventure,Comedy"
Driving Lessons,13-Oct-06,"Drama,Comedy"
The Celestine Prophecy,21-Apr-06,Adventure
The Money Pit,26-Mar-86,Comedy
Poms,10-May-19,"Drama,Comedy"
Luther,26-Sep-03,"Biography,Drama,History"
Cut Bank,3-Apr-15,Thriller
Creepshow 2,1-May-87,"Fantasy,Horror,Comedy"
The Mostly Unfabulous Social Life of Ethan Green,16-Jun-06,"Comedy,Romance"
Cavemen,7-Feb-14,Comedy
"Tuesday, After Christmas",27-May-11,"Drama,Romance"
Va Savoir (Who Knows?),29-Sep-01,"Drama,Comedy,Romance,Crime"
Uncertainty,13-Nov-09,Drama
Seven Days in Utopia,2-Sep-11,"Drama,Sport"
Are You Here,22-Aug-14,Comedy
Atlas Shrugged III: Who Is John Galt?,12-Sep-14,"Sci-Fi,Drama,Mystery"
Adam & Steve,31-Mar-06,"Comedy,Romance"
Perfect Sisters,11-Apr-14,"Drama,Mystery,Thriller,Horror,Crime"
Riding the Bullet,15-Oct-04,"Thriller,Horror"
Pet Sematary II,28-Aug-92,"Fantasy,Horror"
The Story of Us,15-Oct-99,"Drama,Comedy,Romance"
Love After Love,30-Mar-18,Drama
Princesas,23-Aug-06,Drama
Lila Says,24-Jun-05,"Drama,Romance,Crime"
John Rabe,21-May-10,"Biography,Drama,History,War"
Jonathan,16-Nov-18,"Sci-Fi,Drama"
Music Within,26-Oct-07,"Biography,Drama,Comedy,Romance,War,Music"
Song One,23-Jan-15,"Drama,Music"
Farmland,1-May-14,Documentary
"Sex, Politics & Cocktails",20-May-05,"Comedy,Romance"
White Reindeer,6-Dec-13,"Drama,Comedy"
The Seven Five,7-May-15,Documentary
Watermarks,21-Jan-05,"History,Sport,Documentary"
Magician: The Astonishing Life and Work of Orson Welles,10-Dec-14,Documentary
Rock School,3-Jun-05,"Music,Documentary"
Villains,20-Sep-19,"Drama,Thriller,Horror,Comedy,Crime"
Aniara,17-May-19,"Sci-Fi,Drama"
Lisa Picard Is Famous,22-Aug-01,"Drama,Comedy"
Invincible,20-Sep-02,"Drama,War"
Cheatin',15-Aug-14,Animation
Framing John DeLorean,7-Jun-19,"Biography,Drama,Documentary"
Red Knot,5-Dec-14,Drama
The Green Butchers,3-Dec-04,"Drama,Comedy"
Bomb the System,27-May-05,"Action,Drama"
Man in the Chair,7-Dec-07,"Drama,Comedy"
Man of Steel,14-Jun-13,"Action,Adventure,Sci-Fi,Fantasy"
Justice League,17-Nov-17,"Action,Adventure,Sci-Fi,Fantasy"
300,9-Mar-07,"Action,Fantasy,War"
Now You See Me,31-May-13,"Mystery,Thriller,Crime"
Teenage Mutant Ninja Turtles,8-Aug-14,"Action,Adventure,Sci-Fi,Fantasy,Comedy,Animation"
Trainwreck,17-Jul-15,"Comedy,Romance"
The Perks of Being a Wallflower,21-Sep-12,"Drama,Romance"
The Man from U.N.C.L.E.,14-Aug-15,"Action,Adventure,Comedy"
Raging Bull,14-Nov-80,"Biography,Drama,Sport"
The Expendables 2,17-Aug-12,"Action,Adventure,Thriller"
In Bruges,8-Feb-08,"Drama,Thriller,Crime"
The Fast and the Furious,22-Jun-01,"Action,Thriller,Crime"
Jackie Brown,25-Dec-97,"Drama,Thriller,Crime"
Ad Astra,20-Sep-19,"Adventure,Sci-Fi,Drama,Mystery,Thriller"
Rocky Balboa,20-Dec-06,"Drama,Sport"
Sinister,12-Oct-12,"Mystery,Thriller,Horror,Crime"
Indiana Jones and the Last Crusade,24-May-89,"Action,Adventure"
Dumb and Dumber,16-Dec-94,Comedy
Training Day,5-Oct-01,"Drama,Thriller,Crime"
Grown Ups,25-Jun-10,Comedy
Gods of Egypt,26-Feb-16,"Action,Adventure,Fantasy"
Stranger Than Fiction,10-Nov-06,"Drama,Fantasy,Comedy,Romance"
The Angry Birds Movie,20-May-16,"Action,Comedy,Animation,Family"
Ice Age,15-Mar-02,"Adventure,Comedy,Animation,Family"
Pain & Gain,26-Apr-13,"Action,Drama,Thriller,Comedy,Crime"
Night at the Museum,22-Dec-06,"Action,Adventure,Fantasy,Comedy,Family"
The 5th Wave,22-Jan-16,"Action,Adventure,Sci-Fi,Thriller"
Taken 3,9-Jan-15,"Action,Thriller,Crime"
The Italian Job,30-May-03,"Action,Thriller,Crime"
Cinderella Man,3-Jun-05,"Biography,Drama,Sport"
Garden State,28-Jul-04,"Drama,Comedy,Romance"
Armageddon,1-Jul-98,"Action,Adventure,Sci-Fi,Thriller,Romance"
The Lovely Bones,11-Dec-09,"Drama,Thriller,Fantasy"
Rain Man,16-Dec-88,Drama
The Day After Tomorrow,28-May-04,"Action,Adventure,Sci-Fi,Thriller"
American Reunion,6-Apr-12,"Comedy,Romance"
As Good as It Gets,23-Dec-97,"Drama,Comedy,Romance"
Begin Again,27-Jun-14,"Drama,Comedy,Romance,Music"
Leviathan,25-Dec-14,Drama
Final Destination 3,10-Feb-06,"Mystery,Thriller,Horror"
Æon Flux,2-Dec-05,"Action,Adventure,Sci-Fi,Thriller"
25th Hour,19-Dec-02,"Drama,Crime"
Horrible Bosses 2,26-Nov-14,"Comedy,Crime"
Scary Movie 3,24-Oct-03,Comedy
Brightburn,24-May-19,"Sci-Fi,Drama,Mystery,Thriller,Horror"
Rent,23-Nov-05,"Drama,Romance,Musical"
Geostorm,20-Oct-17,"Action,Sci-Fi,Thriller"
Abduction,23-Sep-11,"Action,Thriller"
Thirteen,20-Aug-03,"Drama,Romance"
How the Grinch Stole Christmas,17-Nov-00,"Fantasy,Comedy,Family"
Religulous,3-Oct-08,"Comedy,Documentary"
The Family,13-Sep-13,"Action,Drama,Thriller,Comedy,Crime"
45 Years,23-Dec-15,"Drama,Romance"
Ronin,25-Sep-98,"Action,Thriller,Crime"
Cop Out,26-Feb-10,"Action,Comedy,Crime"
The Change-Up,5-Aug-11,Comedy
To the Wonder,12-Apr-13,"Drama,Romance"
Stir of Echoes,10-Dec-99,"Mystery,Thriller,Horror"
The Big Hit,24-Apr-98,"Action,Thriller,Comedy,Crime"
Babylon A.D.,29-Aug-08,"Action,Adventure,Sci-Fi,Thriller"
Loving Vincent,22-Sep-17,"Biography,Drama,Crime,Animation"
MacGruber,21-May-10,"Action,Comedy"
She's Out of My League,12-Mar-10,"Comedy,Romance"
